/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 10.466551780700684, acc1 is 5.078125, acc5 is 17.578125, cma_loss is 9.665489196777344, uma_loss is 0.8010629415512085
loss is 10.565390586853027, acc1 is 4.00390625, acc5 is 16.50390625, cma_loss is 9.686485290527344, uma_loss is 0.8789049983024597
loss is 10.089680671691895, acc1 is 4.98046875, acc5 is 18.359375, cma_loss is 9.304046630859375, uma_loss is 0.7856336236000061
loss is 10.396561622619629, acc1 is 4.296875, acc5 is 19.7265625, cma_loss is 9.592443466186523, uma_loss is 0.8041177988052368
loss is 10.616995811462402, acc1 is 5.37109375, acc5 is 14.55078125, cma_loss is 9.809051513671875, uma_loss is 0.8079445958137512
loss is 10.16958236694336, acc1 is 5.6640625, acc5 is 20.703125, cma_loss is 9.413543701171875, uma_loss is 0.7560384273529053
loss is 10.242247581481934, acc1 is 5.37109375, acc5 is 18.359375, cma_loss is 9.477937698364258, uma_loss is 0.7643102407455444
loss is 10.74020767211914, acc1 is 4.4921875, acc5 is 14.2578125, cma_loss is 9.952924728393555, uma_loss is 0.7872829437255859
loss is 10.461688041687012, acc1 is 2.734375, acc5 is 15.13671875, cma_loss is 9.727132797241211, uma_loss is 0.7345556020736694
loss is 10.57662582397461, acc1 is 4.296875, acc5 is 16.89453125, cma_loss is 9.779611587524414, uma_loss is 0.7970139384269714
loss is 10.290114402770996, acc1 is 5.078125, acc5 is 18.1640625, cma_loss is 9.547567367553711, uma_loss is 0.7425466775894165
loss is 10.358694076538086, acc1 is 4.1015625, acc5 is 14.84375, cma_loss is 9.65089225769043, uma_loss is 0.7078015804290771
loss is 10.272783279418945, acc1 is 4.19921875, acc5 is 18.84765625, cma_loss is 9.514507293701172, uma_loss is 0.758276104927063
loss is 10.219017028808594, acc1 is 4.00390625, acc5 is 18.5546875, cma_loss is 9.54415512084961, uma_loss is 0.6748615503311157
loss is 10.051267623901367, acc1 is 6.73828125, acc5 is 19.82421875, cma_loss is 9.326211929321289, uma_loss is 0.7250552177429199
loss is 10.350391387939453, acc1 is 4.1015625, acc5 is 13.4765625, cma_loss is 9.629838943481445, uma_loss is 0.7205528616905212
loss is 10.130922317504883, acc1 is 5.2734375, acc5 is 18.65234375, cma_loss is 9.443950653076172, uma_loss is 0.6869715452194214
loss is 10.127182960510254, acc1 is 4.4921875, acc5 is 16.40625, cma_loss is 9.358076095581055, uma_loss is 0.7691066861152649
