/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 10.852012634277344, acc1 is 3.3203125, acc5 is 13.28125, cma_loss is 9.99639892578125, uma_loss is 0.8556138277053833
loss is 11.104202270507812, acc1 is 2.05078125, acc5 is 9.1796875, cma_loss is 10.25003433227539, uma_loss is 0.8541678190231323
loss is 10.682327270507812, acc1 is 3.02734375, acc5 is 11.81640625, cma_loss is 9.904945373535156, uma_loss is 0.7773822546005249
loss is 10.677268981933594, acc1 is 2.734375, acc5 is 12.79296875, cma_loss is 9.900787353515625, uma_loss is 0.7764813899993896
loss is 10.758246421813965, acc1 is 3.80859375, acc5 is 13.18359375, cma_loss is 10.020252227783203, uma_loss is 0.7379938364028931
loss is 10.535176277160645, acc1 is 4.58984375, acc5 is 14.74609375, cma_loss is 9.769218444824219, uma_loss is 0.7659579515457153
loss is 10.632365226745605, acc1 is 3.125, acc5 is 14.94140625, cma_loss is 9.810115814208984, uma_loss is 0.8222494125366211
loss is 10.231877326965332, acc1 is 4.6875, acc5 is 17.3828125, cma_loss is 9.49462890625, uma_loss is 0.737248420715332
loss is 10.496822357177734, acc1 is 4.1015625, acc5 is 15.13671875, cma_loss is 9.757610321044922, uma_loss is 0.7392118573188782
loss is 10.578591346740723, acc1 is 3.7109375, acc5 is 12.98828125, cma_loss is 9.896919250488281, uma_loss is 0.6816723346710205
loss is 10.373620986938477, acc1 is 4.19921875, acc5 is 16.11328125, cma_loss is 9.645626068115234, uma_loss is 0.7279946804046631
loss is 10.389925956726074, acc1 is 3.41796875, acc5 is 14.74609375, cma_loss is 9.690940856933594, uma_loss is 0.6989852786064148
loss is 10.603866577148438, acc1 is 3.61328125, acc5 is 13.4765625, cma_loss is 9.899694442749023, uma_loss is 0.7041717767715454
loss is 10.425240516662598, acc1 is 3.41796875, acc5 is 14.2578125, cma_loss is 9.74129867553711, uma_loss is 0.6839421391487122
loss is 10.663481712341309, acc1 is 3.3203125, acc5 is 13.4765625, cma_loss is 9.98431396484375, uma_loss is 0.6791678667068481
loss is 10.286577224731445, acc1 is 4.296875, acc5 is 16.9921875, cma_loss is 9.602117538452148, uma_loss is 0.6844592690467834
loss is 10.43623161315918, acc1 is 3.90625, acc5 is 15.8203125, cma_loss is 9.785223960876465, uma_loss is 0.6510075330734253
loss is 10.28526496887207, acc1 is 4.296875, acc5 is 16.89453125, cma_loss is 9.622995376586914, uma_loss is 0.6622694730758667
loss is 10.230551719665527, acc1 is 4.00390625, acc5 is 18.359375, cma_loss is 9.564979553222656, uma_loss is 0.6655723452568054
loss is 10.185934066772461, acc1 is 5.95703125, acc5 is 20.01953125, cma_loss is 9.505043029785156, uma_loss is 0.6808913946151733
loss is 10.18713665008545, acc1 is 3.80859375, acc5 is 15.8203125, cma_loss is 9.485136032104492, uma_loss is 0.702000617980957
loss is 10.210882186889648, acc1 is 4.78515625, acc5 is 17.578125, cma_loss is 9.578601837158203, uma_loss is 0.6322802901268005
loss is 10.05994987487793, acc1 is 4.98046875, acc5 is 17.28515625, cma_loss is 9.384222030639648, uma_loss is 0.6757282018661499
loss is 10.219942092895508, acc1 is 3.90625, acc5 is 16.11328125, cma_loss is 9.567590713500977, uma_loss is 0.6523516178131104
loss is 10.035833358764648, acc1 is 4.4921875, acc5 is 18.359375, cma_loss is 9.422111511230469, uma_loss is 0.6137214303016663
loss is 9.960212707519531, acc1 is 6.8359375, acc5 is 19.62890625, cma_loss is 9.332054138183594, uma_loss is 0.6281589865684509
loss is 9.989459991455078, acc1 is 5.2734375, acc5 is 19.23828125, cma_loss is 9.389135360717773, uma_loss is 0.6003249883651733
loss is 9.896289825439453, acc1 is 4.1015625, acc5 is 17.96875, cma_loss is 9.26130485534668, uma_loss is 0.6349853277206421
loss is 10.090385437011719, acc1 is 5.56640625, acc5 is 19.62890625, cma_loss is 9.479158401489258, uma_loss is 0.6112270951271057
loss is 9.718819618225098, acc1 is 5.859375, acc5 is 20.3125, cma_loss is 9.12849235534668, uma_loss is 0.5903275609016418
loss is 9.85991096496582, acc1 is 4.98046875, acc5 is 19.53125, cma_loss is 9.25119400024414, uma_loss is 0.608717143535614
loss is 10.051643371582031, acc1 is 5.37109375, acc5 is 17.578125, cma_loss is 9.476348876953125, uma_loss is 0.5752943158149719
loss is 9.732595443725586, acc1 is 6.54296875, acc5 is 22.0703125, cma_loss is 9.12310791015625, uma_loss is 0.6094874739646912
loss is 9.809842109680176, acc1 is 6.640625, acc5 is 19.921875, cma_loss is 9.199914932250977, uma_loss is 0.6099271774291992
loss is 9.667426109313965, acc1 is 6.15234375, acc5 is 23.14453125, cma_loss is 9.049732208251953, uma_loss is 0.6176941990852356
loss is 9.920948028564453, acc1 is 5.56640625, acc5 is 18.84765625, cma_loss is 9.293815612792969, uma_loss is 0.62713223695755
loss is 9.774755477905273, acc1 is 6.0546875, acc5 is 22.55859375, cma_loss is 9.12221908569336, uma_loss is 0.6525368690490723
loss is 9.728273391723633, acc1 is 5.859375, acc5 is 21.6796875, cma_loss is 9.111581802368164, uma_loss is 0.6166918277740479
loss is 9.763586044311523, acc1 is 5.46875, acc5 is 20.703125, cma_loss is 9.12952995300293, uma_loss is 0.6340563893318176
loss is 9.689071655273438, acc1 is 5.859375, acc5 is 21.58203125, cma_loss is 9.073984146118164, uma_loss is 0.61508709192276
loss is 9.663928985595703, acc1 is 6.8359375, acc5 is 21.77734375, cma_loss is 9.10135269165039, uma_loss is 0.5625767707824707
loss is 9.647891998291016, acc1 is 6.73828125, acc5 is 21.2890625, cma_loss is 9.035306930541992, uma_loss is 0.6125853061676025
loss is 9.725126266479492, acc1 is 6.34765625, acc5 is 23.4375, cma_loss is 9.14329719543457, uma_loss is 0.5818291902542114
loss is 9.429793357849121, acc1 is 7.71484375, acc5 is 24.70703125, cma_loss is 8.863988876342773, uma_loss is 0.5658046007156372
loss is 9.75680923461914, acc1 is 6.4453125, acc5 is 21.484375, cma_loss is 9.17490005493164, uma_loss is 0.5819088220596313
loss is 9.649288177490234, acc1 is 6.73828125, acc5 is 21.58203125, cma_loss is 9.03878402709961, uma_loss is 0.6105039119720459
loss is 9.401540756225586, acc1 is 6.4453125, acc5 is 23.73046875, cma_loss is 8.836584091186523, uma_loss is 0.5649569630622864
loss is 9.600297927856445, acc1 is 7.12890625, acc5 is 22.16796875, cma_loss is 9.009786605834961, uma_loss is 0.5905109643936157
loss is 9.384514808654785, acc1 is 7.6171875, acc5 is 25.09765625, cma_loss is 8.768852233886719, uma_loss is 0.6156622171401978
loss is 9.65168571472168, acc1 is 5.17578125, acc5 is 20.8984375, cma_loss is 9.042035102844238, uma_loss is 0.6096503734588623
loss is 9.618124961853027, acc1 is 7.421875, acc5 is 24.0234375, cma_loss is 9.038079261779785, uma_loss is 0.5800458192825317
loss is 9.294221878051758, acc1 is 8.30078125, acc5 is 25.09765625, cma_loss is 8.698196411132812, uma_loss is 0.5960250496864319
loss is 9.51006031036377, acc1 is 5.95703125, acc5 is 21.875, cma_loss is 8.912720680236816, uma_loss is 0.5973392128944397
loss is 9.736987113952637, acc1 is 6.54296875, acc5 is 22.0703125, cma_loss is 9.151908874511719, uma_loss is 0.5850782990455627
